frame_number,write_time_unix,write_time_iso,expected_delta,actual_delta,delta_error,queue_delay,capture_latency,write_duration,queue_backlog_after,camera_frame_index,display_frame_index,camera_timestamp_unix,camera_timestamp_diff,available_camera_fps,dropped_frames_total,duplicates_total,is_duplicate
1,1758850624.660869,2025-09-26T01:37:04.660+00:00,0.040000,,,0.000052,0.890290,0.002490,0,,1,1758850624.589267,0.071602,0.000000,0,0,0
2,1758850624.700876,2025-09-26T01:37:04.700+00:00,0.040000,0.040007,0.000007,0.000046,,0.002310,0,,,,,,,1,1
3,1758850624.740872,2025-09-26T01:37:04.740+00:00,0.040000,0.039996,-0.000004,0.000043,,0.002111,0,,,,,,,2,1
4,1758850624.780904,2025-09-26T01:37:04.780+00:00,0.040000,0.040032,0.000032,0.000064,,0.004374,0,,,,,,,3,1
5,1758850624.821000,2025-09-26T01:37:04.821+00:00,0.040000,0.040096,0.000096,0.000163,0.059135,0.004772,0,,2,1758850624.763805,0.057195,5.729423,0,3,0
6,1758850624.860895,2025-09-26T01:37:04.860+00:00,0.040000,0.039896,-0.000104,0.000057,,0.002420,0,,,,,,,4,1
7,1758850624.900909,2025-09-26T01:37:04.900+00:00,0.040000,0.040014,0.000014,0.000066,,0.007089,0,,,,,,,5,1
8,1758850624.940924,2025-09-26T01:37:04.940+00:00,0.040000,0.040015,0.000015,0.000067,0.049665,0.006649,0,,3,1758850624.892459,0.048466,6.596487,0,5,0
9,1758850624.981337,2025-09-26T01:37:04.981+00:00,0.040000,0.040413,0.000413,0.000048,,0.010591,0,,,,,,,6,1
10,1758850625.022166,2025-09-26T01:37:05.022+00:00,0.040000,0.040829,0.000829,0.000066,,0.008763,0,,,,,,,7,1
11,1758850625.061709,2025-09-26T01:37:05.061+00:00,0.040000,0.039542,-0.000458,0.000063,0.043442,0.006962,0,,4,1758850625.019773,0.041937,6.968552,0,7,0
12,1758850625.104729,2025-09-26T01:37:05.104+00:00,0.040000,0.043019,0.003019,0.002423,,0.009546,0,,,,,,,8,1
13,1758850625.140891,2025-09-26T01:37:05.140+00:00,0.040000,0.036163,-0.003837,0.000048,,0.005877,0,,,,,,,9,1
14,1758850625.182258,2025-09-26T01:37:05.182+00:00,0.040000,0.041367,0.001367,0.001390,0.035987,0.015800,0,,5,1758850625.156230,0.026028,7.055132,0,9,0
15,1758850625.222257,2025-09-26T01:37:05.222+00:00,0.040000,0.040000,-0.000000,0.001419,,0.008481,0,,,,,,,10,1
16,1758850625.262138,2025-09-26T01:37:05.262+00:00,0.040000,0.039881,-0.000119,0.001287,,0.004536,0,,,,,,,11,1
17,1758850625.300923,2025-09-26T01:37:05.300+00:00,0.040000,0.038785,-0.001215,0.000076,0.040020,0.021492,0,,6,1758850625.269886,0.031037,7.346249,0,11,0
18,1758850625.353034,2025-09-26T01:37:05.353+00:00,0.040000,0.052110,0.012110,0.007288,,0.004407,0,,,,,,,12,1
19,1758850625.380903,2025-09-26T01:37:05.380+00:00,0.040000,0.027868,-0.012132,0.000067,,0.024632,0,,,,,,,13,1
20,1758850625.428998,2025-09-26T01:37:05.428+00:00,0.040000,0.048096,0.008096,0.004698,0.063440,0.014891,0,,7,1758850625.367225,0.061773,7.712497,0,13,0
21,1758850625.461606,2025-09-26T01:37:05.461+00:00,0.040000,0.032608,-0.007392,0.000146,,0.010509,0,,,,,,,14,1
