frame_number,write_time_unix,sensor_timestamp_ns,dropped_since_last,total_hardware_drops
651,1761172134.299535,29056009630000,0,0
656,1761172134.475006,29056176224000,4,4
661,1761172134.634406,29056342798000,4,8
667,1761172134.726292,29056542711000,5,13
673,1761172134.753399,29056742633000,5,18
675,1761172134.831062,29056809246000,1,19
676,1761172134.879236,29056842579000,0,19
679,1761172135.062496,29056942522000,2,21
683,1761172135.126366,29057075783000,3,24
686,1761172135.203060,29057175752000,2,26
688,1761172135.230508,29057242394000,1,27
690,1761172135.233131,29057309001000,1,28
691,1761172135.340865,29057342327000,0,28
693,1761172135.341885,29057408959000,1,29
694,1761172135.429199,29057442281000,0,29
697,1761172135.437529,29057542223000,2,31
698,1761172135.515991,29057575544000,0,31
699,1761172135.517335,29057608860000,0,31
700,1761172135.551348,29057642180000,0,31
701,1761172135.599855,29057675495000,0,31
702,1761172135.722095,29057708812000,0,31
704,1761172135.761649,29057775446000,1,32
705,1761172135.917768,29057808765000,0,32
707,1761172135.985729,29057875408000,1,33
708,1761172135.991753,29057908723000,0,33
711,1761172136.006775,29058008674000,2,35
713,1761172136.038257,29058075308000,1,36
715,1761172136.155056,29058141938000,1,37
718,1761172136.216040,29058241896000,2,39
719,1761172136.241593,29058275218000,0,39
720,1761172136.260361,29058308524000,0,39
722,1761172136.317085,29058375162000,1,40
723,1761172136.359546,29058408478000,0,40
727,1761172136.476219,29058541781000,1,42
725,1761172136.476311,29058475115000,1,42
728,1761172136.563453,29058575065000,0,42
729,1761172136.595687,29058608390000,0,42
731,1761172136.680938,29058675027000,1,43
732,1761172136.693172,29058708337000,0,43
734,1761172136.719271,29058774973000,1,44
735,1761172136.816231,29058808293000,0,44
736,1761172136.904442,29058841609000,0,44
739,1761172136.932321,29058941557000,2,47
741,1761172136.932384,29059008193000,1,47
742,1761172137.105590,29059041507000,0,47
745,1761172137.127016,29059141461000,2,49
747,1761172137.131544,29059208096000,1,50
748,1761172137.306271,29059241411000,0,50
752,1761172137.411182,29059374695000,3,53
756,1761172137.478012,29059507952000,3,56
758,1761172137.498189,29059574583000,1,57
759,1761172137.612679,29059607900000,0,57
762,1761172137.713214,29059707856000,2,59
765,1761172137.714812,29059807809000,2,61
766,1761172137.804863,29059841125000,0,61
768,1761172137.811058,29059907760000,1,62
769,1761172138.057451,29059941081000,0,62
772,1761172138.081508,29060041036000,2,64
775,1761172138.199595,29060140991000,2,66
778,1761172138.288048,29060240931000,2,68
780,1761172138.298600,29060307577000,1,69
782,1761172138.396043,29060374208000,1,70
784,1761172138.435202,29060440836000,1,71
786,1761172138.663794,29060507483000,1,72
791,1761172138.690432,29060674058000,4,76
794,1761172138.807570,29060774015000,2,78
797,1761172138.815643,29060873965000,2,80
798,1761172138.951660,29060907286000,0,80
799,1761172138.956742,29060940602000,0,80
802,1761172139.070869,29061040553000,2,82
805,1761172139.178133,29061140501000,2,84
809,1761172139.367077,29061273788000,3,87
813,1761172139.395061,29061407040000,3,90
814,1761172139.549997,29061440368000,0,90
817,1761172139.649705,29061540316000,2,92
821,1761172139.672066,29061673580000,3,95
823,1761172139.772837,29061740220000,1,96
824,1761172139.916616,29061773539000,0,96
826,1761172140.026133,29061840178000,1,97
830,1761172140.061623,29061973442000,3,100
833,1761172140.166237,29062073392000,2,102
834,1761172140.186296,29062106727000,0,102
838,1761172140.299402,29062239982000,3,105
841,1761172140.428771,29062339938000,2,107
846,1761172140.559890,29062506519000,4,111
850,1761172140.632272,29062639789000,3,114
851,1761172140.644689,29062673108000,0,114
853,1761172140.743115,29062739742000,1,115
854,1761172140.764510,29062773058000,0,115
856,1761172140.767391,29062839693000,1,116
857,1761172140.954018,29062873009000,0,116
860,1761172141.024268,29062972960000,2,118
862,1761172141.157005,29063039597000,1,119
864,1761172141.304843,29063106226000,1,120
868,1761172141.406878,29063239502000,3,123
873,1761172141.413364,29063406102000,4,127
876,1761172141.487022,29063506046000,2,129
877,1761172141.499688,29063539359000,0,129
878,1761172141.538060,29063572679000,0,129
880,1761172141.625177,29063639312000,1,130
883,1761172141.695523,29063739259000,2,132
885,1761172141.719824,29063805897000,1,133
886,1761172141.752460,29063839215000,0,133
887,1761172141.830127,29063872532000,0,133
888,1761172141.837713,29063905849000,0,133
889,1761172142.067075,29063939171000,0,133
892,1761172142.089006,29064039122000,2,135
895,1761172142.237850,29064139070000,2,137
899,1761172142.354776,29064272350000,3,140
901,1761172142.363081,29064338976000,1,141
902,1761172142.459241,29064372293000,0,141
904,1761172142.500423,29064438922000,1,142
908,1761172142.578529,29064572210000,3,145
909,1761172142.631350,29064605518000,0,145
912,1761172142.834242,29064705465000,2,150
916,1761172142.834390,29064838763000,3,150
919,1761172142.956193,29064938690000,2,152
922,1761172142.982121,29065038653000,2,154
923,1761172143.074861,29065071961000,0,154
925,1761172143.201578,29065138604000,1,155
929,1761172143.317833,29065271859000,3,158
932,1761172143.416689,29065371815000,2,160
935,1761172143.447736,29065471769000,2,162
936,1761172143.569512,29065505086000,0,162
937,1761172143.630618,29065538399000,0,162
941,1761172143.636111,29065671685000,3,165
943,1761172143.777681,29065738305000,1,166
947,1761172143.791929,29065871574000,2,168
944,1761172143.793158,29065771643000,0,168
948,1761172144.028256,29065904900000,0,168
951,1761172144.141880,29066004882000,2,170
955,1761172144.191956,29066138110000,3,173
958,1761172144.268235,29066238063000,2,175
960,1761172144.312998,29066304701000,1,176
962,1761172144.414593,29066371331000,1,177
964,1761172144.426526,29066437975000,1,178
966,1761172144.537012,29066504609000,1,179
969,1761172144.630416,29066604569000,2,181
970,1761172144.632544,29066637870000,0,181
973,1761172144.772537,29066737847000,2,183
976,1761172144.848597,29066837785000,2,185
977,1761172144.885196,29066871108000,0,185
979,1761172144.984749,29066937743000,1,186
980,1761172145.063153,29066971047000,0,186
983,1761172145.081764,29067071009000,2,188
985,1761172145.119313,29067137632000,1,189
986,1761172145.226104,29067170954000,0,189
987,1761172145.290609,29067204277000,0,189
989,1761172145.460356,29067270908000,1,190
997,1761172145.567971,29067537440000,7,197
1000,1761172145.568834,29067637394000,2,199
1001,1761172145.668113,29067670710000,0,199
1004,1761172145.896133,29067770667000,2,201
1009,1761172145.980106,29067937258000,4,205
1012,1761172146.003330,29068037207000,2,207
1013,1761172146.141251,29068070522000,0,207
1016,1761172146.241242,29068170480000,2,209
1018,1761172146.384677,29068237110000,1,210
1021,1761172146.389145,29068337057000,2,212
1025,1761172146.393086,29068470342000,3,215
1026,1761172146.479544,29068503654000,0,215
1028,1761172146.599661,29068570285000,1,218
1031,1761172146.599749,29068670240000,2,218
1032,1761172146.682935,29068703554000,0,218
1033,1761172146.704738,29068736888000,0,218
1034,1761172146.788538,29068770200000,0,218
1035,1761172146.795494,29068803504000,0,218
1038,1761172146.809604,29068903458000,2,220
1039,1761172146.903964,29068936774000,0,220
1040,1761172146.912783,29068970089000,0,220
1041,1761172146.997080,29069003411000,0,220
1044,1761172147.100411,29069103362000,2,222
1045,1761172147.157136,29069136680000,0,222
1047,1761172147.240721,29069203312000,1,223
1049,1761172147.282946,29069269948000,1,224
1052,1761172147.362327,29069369896000,2,226
1053,1761172147.425953,29069403225000,0,226
1055,1761172147.500189,29069469850000,1,227
1056,1761172147.532691,29069503176000,0,227
1059,1761172147.597939,29069603121000,2,229
1060,1761172147.632795,29069636441000,0,229
1062,1761172147.755695,29069703072000,1,230
1063,1761172148.236240,29069736394000,0,230
1067,1761172148.438653,29069869660000,3,233
1079,1761172148.536171,29070269491000,11,244
1087,1761172148.979635,29070536016000,7,251
1090,1761172149.092731,29070635966000,2,253
1095,1761172149.202476,29070802566000,4,257
1103,1761172149.206958,29071069090000,7,264
1107,1761172149.404497,29071202360000,3,267
1112,1761172149.545882,29071368942000,4,271
1115,1761172149.792892,29071468930000,2,273
1120,1761172149.824873,29071635486000,4,277
1124,1761172149.961241,29071768753000,3,280
1128,1761172150.054142,29071902024000,3,283
1129,1761172150.069117,29071935345000,0,283
1133,1761172150.106978,29072068616000,3,286
1136,1761172150.109251,29072168563000,2,288
1137,1761172150.189219,29072201883000,0,288
1138,1761172150.219230,29072235199000,0,288
1139,1761172150.366946,29072268522000,0,288
1143,1761172150.511768,29072401796000,3,291
1144,1761172150.617582,29072435106000,0,291
1150,1761172150.661697,29072635009000,5,296
1153,1761172150.777051,29072734965000,2,298
1154,1761172150.876170,29072768278000,0,298
1157,1761172150.928292,29072868230000,2,300
1158,1761172151.017715,29072901558000,0,300
1161,1761172151.039631,29073001499000,2,302
1162,1761172151.040102,29073034821000,0,302
1164,1761172151.180312,29073101460000,1,303
1168,1761172151.313574,29073234724000,3,306
